playerID,yearID,stint,TeamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
mccutan01,2020,1,PHI,NL,154,586,86,149,24,0,27,92,11,0,59,130,0,3,0,3,11
mcguire01,2020,1,TOR,AL,51,111,5,8,0,0,3,3,0,0,0,30,0,0,11,0,3
mckinbi01,2020,1,TOR,AL,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
mckinza01,2020,1,LAD,NL,11,19,3,5,3,0,0,0,0,0,0,8,0,0,0,0,3
mcmahry01,2020,1,COL,NL,140,464,62,100,16,3,24,70,0,3,49,178,0,5,0,3,11
mcneije01,2020,1,NYM,NL,140,494,51,154,38,0,11,62,0,5,54,65,5,8,0,8,8
meadoau01,2020,1,TBR,AL,97,356,51,73,22,3,11,35,5,3,46,135,0,3,0,5,0
mejiaer01,2020,1,KCR,AL,22,38,3,3,3,0,0,0,3,0,0,19,0,0,3,0,0
mejiafr01,2020,1,SDP,NL,46,105,14,8,3,0,3,5,0,0,3,24,0,5,0,0,3
melanma01,2020,1,ATL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendida01,2020,1,CHW,AL,89,289,30,70,11,3,8,16,0,3,16,68,0,0,0,3,8
mercaos01,2020,1,CLE,AL,97,232,16,30,3,0,3,16,8,0,14,73,0,0,3,3,0
merceye01,2020,1,CHW,AL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mercejo03,2020,1,TOT,AL,24,54,5,11,0,0,0,0,0,0,5,5,0,0,0,0,3
merriwh01,2020,1,KCR,AL,162,670,103,189,32,0,24,81,32,8,32,89,0,11,0,3,8
millebr02,2020,1,STL,NL,130,383,57,89,22,3,19,68,3,0,68,124,3,8,0,3,5
milleia01,2020,1,CHC,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millsal02,2020,1,CHC,NL,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
molinya01,2020,1,STL,NL,113,392,32,103,5,0,11,43,0,0,16,57,0,8,3,3,19
moncayo01,2020,1,CHW,AL,140,540,76,122,22,8,16,65,0,0,76,194,0,3,0,5,3
mondera02,2020,1,KCR,AL,159,591,89,151,30,8,16,59,65,22,30,189,0,3,5,0,11
moniami01,2020,1,PHI,NL,22,38,8,8,0,0,0,0,0,0,11,16,0,0,0,0,0
mooredy01,2020,1,SEA,AL,103,370,70,95,24,0,22,46,32,14,38,116,0,22,0,0,11
moranco01,2020,1,PIT,NL,140,481,76,119,27,0,27,62,0,0,51,140,0,5,0,3,24
morelmi01,2020,1,TOT,MLB,113,367,59,97,24,0,27,78,0,0,41,86,5,3,0,0,0
morrilo01,2020,1,MIL,NL,24,68,8,8,3,0,3,5,0,0,8,22,0,0,0,0,0
mountry01,2020,1,BAL,AL,95,340,32,113,14,0,14,62,0,3,30,81,0,3,0,5,5
moustmi01,2020,1,CIN,NL,119,375,35,86,24,0,22,73,3,0,49,97,3,11,0,5,14
mullice01,2020,1,BAL,AL,130,378,43,103,11,8,8,32,19,5,22,100,0,3,11,0,0
muncyma01,2020,1,LAD,NL,157,548,97,105,11,0,32,73,3,0,105,162,5,11,0,5,8
munozya01,2020,1,BOS,AL,32,122,16,41,14,0,3,11,5,0,0,30,0,0,0,0,3
murphda08,2020,1,COL,NL,108,332,27,78,8,0,8,43,0,0,19,57,5,0,0,3,8
murphjr01,2020,1,PIT,NL,68,157,16,27,5,0,0,5,0,0,11,76,0,0,3,0,3
murphse01,2020,1,OAK,AL,116,313,57,73,14,0,19,38,0,0,65,100,0,0,0,0,16
myerswi01,2020,1,SDP,NL,149,535,92,154,38,5,41,108,5,3,49,151,0,5,0,0,0
naquity01,2020,1,CLE,AL,108,359,41,78,22,3,11,54,0,3,14,108,0,3,0,5,8
narvaom01,2020,1,MIL,NL,108,292,22,51,11,0,5,27,0,0,43,105,0,5,0,0,3
navarbr01,2020,1,MIA,NL,5,14,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
naylojo01,2020,1,TOT,MLB,108,262,35,65,8,3,3,16,3,0,14,32,0,3,0,0,5
nerishe01,2020,1,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newmake01,2020,1,PIT,NL,119,421,32,95,14,0,3,27,0,3,32,57,0,3,3,5,3
nidoto01,2020,1,NYM,NL,19,65,11,19,3,0,5,16,0,0,5,16,0,0,0,0,5
nimmobr01,2020,1,NYM,NL,149,502,89,140,22,8,22,49,3,5,89,116,0,16,0,0,3
nogowjo01,2020,1,STL,NL,3,11,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
nolaaa01,2020,1,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nolaau01,2020,1,TOT,MLB,130,435,65,119,24,3,19,76,0,0,49,92,3,8,0,5,8
nollja01,2020,1,WSN,NL,19,46,5,16,3,0,0,0,0,0,0,11,0,0,0,0,3
nottija01,2020,1,MIL,NL,54,130,22,24,3,0,11,35,0,0,14,54,0,3,0,0,3
nunezed02,2020,1,NYM,NL,5,5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
nunezre01,2020,1,BAL,AL,140,527,78,135,27,0,32,84,0,0,46,173,0,8,0,3,11
ogradbr01,2020,1,TBR,AL,5,14,5,5,3,0,0,0,3,0,0,3,0,0,0,0,0
ohearry01,2020,1,KCR,AL,113,305,19,59,16,0,5,49,0,0,49,100,5,0,0,3,14
oneilty01,2020,1,STL,NL,135,375,54,65,14,0,19,51,8,3,41,116,0,5,0,3,8
odomjo01,2020,1,SEA,AL,49,105,5,14,0,0,0,5,0,0,11,54,0,0,3,0,3
odorro01,2020,1,TEX,AL,103,373,41,62,11,0,27,81,0,3,19,127,0,3,0,5,5
ohtansh01,2020,1,LAA,AL,119,413,62,78,16,0,19,65,19,3,59,135,0,0,0,0,8
olivaja01,2020,1,PIT,NL,16,43,0,8,0,0,0,0,3,0,0,16,0,0,0,0,0
olivaed02,2020,1,TOT,MLB,84,259,24,62,5,3,8,27,0,5,11,68,0,0,0,3,3
olsonma02,2020,1,OAK,AL,162,567,76,111,11,3,38,113,3,0,92,208,5,3,0,0,5
onajo01,2020,1,SDP,NL,14,32,8,8,3,0,3,5,0,0,5,19,0,3,0,0,0
orfna01,2020,1,OAK,AL,16,19,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
osunajo01,2020,1,PIT,NL,70,211,16,43,8,0,11,30,0,3,11,43,0,0,0,0,3
owingch01,2020,1,COL,NL,46,111,24,30,3,0,5,14,3,0,8,30,0,0,0,0,0
ozunama01,2020,1,ATL,NL,162,616,103,208,38,0,49,151,0,0,103,162,8,0,0,3,8
pachecr01,2020,1,ATL,NL,5,11,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
paganem01,2020,1,SDP,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panikjo01,2020,1,TOR,AL,111,324,49,73,16,0,3,19,0,0,54,73,0,3,0,0,11
paredis01,2020,1,DET,AL,92,270,19,59,11,0,3,16,0,0,22,65,0,0,0,0,3
parkebl01,2020,1,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paytoma01,2020,1,CIN,NL,22,49,0,8,3,0,0,0,3,0,5,14,0,0,0,0,3
pederjo01,2020,1,LAD,NL,116,327,57,62,11,0,19,43,3,0,30,92,0,14,0,0,14
pencehu01,2020,1,SFG,NL,46,140,11,14,0,3,5,16,0,0,8,41,0,3,0,0,8
peralda01,2020,1,ARI,NL,146,548,51,165,27,3,14,92,3,0,35,122,0,0,0,5,11
perazjo01,2020,1,BOS,AL,92,300,35,68,22,3,3,22,3,3,14,49,0,8,0,3,8
perezhe01,2020,1,CHC,NL,8,16,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
perezmi03,2020,1,TBR,AL,103,227,19,38,8,0,3,35,0,0,19,73,0,3,0,3,8
perezro02,2020,1,CLE,AL,86,262,16,43,5,0,3,14,0,0,30,103,0,5,0,0,5
perezsa02,2020,1,KCR,AL,100,405,59,135,32,0,30,86,3,0,8,97,0,5,0,3,0
peterja01,2020,1,MIL,NL,70,122,16,24,3,0,5,14,3,0,41,54,0,0,0,3,0
phamth01,2020,1,SDP,NL,84,294,35,62,5,0,8,32,16,0,41,73,0,3,0,0,5
phegljo01,2020,1,CHC,NL,30,43,11,3,0,0,3,5,0,0,3,8,0,3,0,0,0
